TRIB,TimesNewRomanPS-BoldItalic
TRIT,Times-Italic
TRIT,TimesNewRomanPS-ItalicMT
TRIT,TimesNewRomanPS-Italic
TRJB,TrajanPro-Bold
TRJR,TrajanPro-Regular
UBCO,Univers-CondensedBoldOblique
UBKO,Univers-BlackOblique
ULCO,Univers-CondensedLightOblique
ULCO,Univers-CondensedLightOblique
UMCO,Univers-CondensedOblique
UNBC,Univers-CondensedBold
UNBK,Univers-Black
UNBK,UniversLTStd-Black
UNBO,Univers-BoldOblique
UNIB,Univers-Bold
UNIB,UniversLTStd-Bold
UNIL,Univers-Light
UNIL,UniversLTStd-Light
UNIM,Univers
UNIM,UniversLTStd
UNLC,Univers-CondensedLight
UNLO,Univers-LightOblique
UNMC,Univers-Condensed
UNMI,Univers-Oblique
ZAPD,ZapfDingbatsITC
ZCMI,ZapfChanceryITCbyBT-Medium
